"","sp","slopeLong","slopeShort","Nbegin","Nmed","Nend","NbeginS","NmedS","NendS","NbeginA","NmedA","NendA","sphen_begin","sphen_med","sphen_end","aphen_begin","aphen_med","aphen_end","Ntotal"
"153","COLPAL",-9,-38,29491.3434690009,43182.5616161616,26729.7142857143,2427.64096597417,2178.65454545455,2683.09523809524,26972.2617799426,40877.3929292929,23880.380952381,108,105,102,271,272,274,1262774
"154","STRDEC",-57,-30,5.58871755179805,3.48181818181818,2.42857142857143,3.12507990375637,2.36363636363636,1.42857142857143,1.44419320359723,0.827272727272727,0.714285714285714,148,137,157,NA,NA,NA,133
"155","STRTUR",-88,-13,11.464050019468,1.63636363636364,1.42857142857143,8.7379129857071,1.45454545454545,1.28571428571429,1.77216877979262,0.181818181818182,0.142857142857143,152,151,138,NA,NA,NA,198
"156","CLAGLA",NA,-100,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,NA,NA,NA,NA,NA,NA,1
"157","CUCCAN",-15,-2,49.7281376045695,43.3,42.4761904761905,7.88874165050636,5.28181818181818,8.61904761904762,41.0759038905711,37.9272727272727,33.8571428571429,148,141,144,233,236,234,1735
"158","BUBBUB",-80,-49,17.4153026282283,6.75631313131313,3.47619047619048,2.49833206009677,0.554545454545455,0.571428571428571,8.19197056813156,5.27272727272727,2.76190476190476,NA,NA,NA,323,303,300,279
"159","BUBSCA",-100,-100,1.2,1.75580808080808,0,0,0.363636363636364,0,0.166666666666667,0.0909090909090909,0,NA,NA,NA,NA,NA,NA,22
"160","SURULU",648,542,0.70995670995671,0.827272727272727,5.30952380952381,0,0,0.142857142857143,0.70995670995671,0.727272727272727,5.16666666666667,NA,NA,NA,NA,NA,NA,60
"161","GLAPAS",-34,-92,7.37806447938027,64.0747474747475,4.85714285714286,0.0909090909090909,0.281818181818182,0,6.78715538847118,62.8181818181818,4.71428571428571,NA,NA,NA,293,287,288,876
"162","STRALU",-30,-57,6.96123424648966,11.3762626262626,4.88095238095238,0.744783359914939,0.3,1,5.63311755324139,10.1818181818182,3.88095238095238,NA,NA,NA,297,292,294,281
"163","STRURA",35,-81,0.442156862745098,3.09090909090909,0.595238095238095,0,0,0,0.442156862745098,2.90909090909091,0.595238095238095,NA,NA,NA,NA,NA,NA,47
"164","STRNEB",-42,Inf,0.247619047619048,0,0.142857142857143,0.2,0,0,0.0476190476190476,0,0.142857142857143,NA,NA,NA,NA,NA,NA,3
"165","ASIOTU",-30,-35,40.3946871669782,43.1878787878788,28.1761904761905,5.13141551860592,2.91818181818182,3.35714285714286,31.8942240293246,38.2727272727273,22.0714285714286,93,95,90,294,291,296,1393
"166","ASIFLA",109,51,14.0935227612085,19.4636363636364,29.4285714285714,5.31160390606985,10.0090909090909,14.8095238095238,8.28191885513867,9.45454545454546,14.3333333333333,118,116,127,279,284,289,676
"167","AEGFUN",-56,98,66.2343334941632,14.7272727272727,29.2142857142857,0.5,0,0.30952380952381,65.2343334941632,14.7272727272727,28.9047619047619,NA,NA,NA,287,289,283,1726
"168","CAPEUR",14,49,4.49413191727433,3.45454545454545,5.14285714285714,1.11514400632048,0.454545454545455,1,3.37898791095385,3,3.42857142857143,NA,NA,NA,241,243,249,158
