FIN_name,SWE_name,ENG_name,Sci_name,Species_Abb,Species_code,Sp,Add,Night,Trend,SpB,SpE,AuB,AuE,P,M,Species_Abb_old,Expected,,
mehiläishaukka,bivråk,European Honey Buzzard,Pernis apivorus,PERAPI,211,1,0,0,2,47,181,196,365,1,1,PERAPI,,,
haarahaukka,brun glada,Black Kite,Milvus migrans,MILMIG,213,1,0,0,2,47,151,182,365,1,1,MILMIG,,,
isohaarahaukka,röd glada,Red Kite,Milvus milvus,MILMIL,215,1,0,0,2,47,181,182,365,1,1,MILMIL,,,
merikotka,havsörn,White-tailed Eagle,Haliaeetus albicilla,HALALB,218,1,0,0,2,47,151,196,365,0,1,HALALB,,,
käärmekotka,ormörn,Short-toed Eagle,Circaetus gallicus,CIRGAL,224,1,0,0,2,47,181,182,365,1,1,CIRGAL,,,
ruskosuohaukka,brun kärrhök,Western Marsh Harrier,Circus aeruginosus,CIRAER,225,1,0,0,2,47,166,182,365,1,1,CIRAER,,,
sinisuohaukka,blå kärrhök,Northern Harrier,Circus cyaneus,CIRCYA,226,1,0,0,2,47,166,182,365,1,1,CIRCYA,,,
arosuohaukka,stäpphök,Pallid Harrier,Circus macrourus,CIRMAC,228,1,0,0,2,47,166,182,365,1,1,CIRMAC,,,
niittysuohaukka,ängshök,Montagu's Harrier,Circus pygargus,CIRPYG,230,1,0,0,2,47,166,182,365,1,1,CIRPYG,,,
kanahaukka,duvhök,Northern Goshawk,Accipiter gentilis,ACCGEN,234,1,0,0,2,47,151,182,365,0,1,ACCGEN,x,,
varpushaukka,sparvhök,Eurasian Sparrowhawk,Accipiter nisus,ACCNIS,237,1,0,0,2,47,166,196,365,0,1,ACCNIS,x,,
hiirihaukka,ormvråk,Common Buzzard,Buteo buteo,BUTBUT,239,1,0,0,2,47,166,196,365,1,1,BUTBUT,,,
arohiirihaukka,örnvråk,Long-legged Buzzard,Buteo rufinus,BUTRUF,242,1,0,0,2,47,181,182,365,1,1,BUTRUF,,,
piekana,fjällvråk,Rough-legged Buzzard,Buteo lagopus,BUTLAG,243,1,0,0,2,47,181,182,365,1,1,BUTLAG,,,
kiljukotka,större skrikörn,Greater Spotted Eagle,Aquila clanga,AQUCLA,246,1,0,0,2,47,181,182,365,1,1,AQUCLA,,,
pikkukiljukotka,mindre skrikörn,Lesser Spotted Eagle,Aquila pomarina,AQUPOM,248,1,0,0,2,47,181,182,365,1,1,AQUPOM,,,
maakotka,kungsörn,Golden Eagle,Aquila chrysaetos,AQUCHR,251,1,0,0,2,47,181,182,365,1,1,AQUCHR,,,
arokotka,stäppörn,Steppe Eagle,Aquila nipalensis,AQUNIP,252,1,0,0,2,47,181,182,365,1,1,AQUNIP,,,
sääksi,fiskgjuse,Osprey,Pandion haliaetus,PANHAL,259,1,0,0,2,47,181,196,365,0,1,PANHAL,,,
tuulihaukka,tornfalk,Common Kestrel,Falco tinnunculus,FALTIN,261,1,0,0,2,60,151,196,365,1,1,FALTIN,,,
punajalkahaukka,aftonfalk,Red-footed Falcon,Falco vespertinus,FALVES,263,1,0,0,2,47,166,196,365,1,1,FALVES,,,
ampuhaukka,stenfalk,Merlin,Falco columbarius,FALCOL,264,1,0,0,2,60,166,196,365,1,1,FALCOL,,,
nuolihaukka,lärkfalk,Eurasian Hobby,Falco subbuteo,FALSUB,265,1,0,0,2,47,166,196,365,0,1,FALSUB,x,,
tunturihaukka,jaktfalk,Gyrfalcon,Falco rusticolus,FALRUS,269,1,0,0,2,60,166,196,59,1,1,FALRUS,,,
muuttohaukka,pilgrimsfalk,Peregrine Falcon,Falco peregrinus,FALPER,270,1,0,0,2,47,166,196,365,1,1,FALPER,,,
luhtakana,vattenrall,Water Rail,Rallus aquaticus,RALAQU,279,1,0,0,2,47,151,196,365,1,1,RALAQU,,,
luhtahuitti,småfläckig sumphöna,Spotted Crake,Porzana porzana,PORPOR,280,1,0,0,2,47,166,196,365,1,1,PORPOR,,,
ruisrääkkä,kornknarr,Corn Crake,Crex crex,CRECRE,287,1,0,0,2,47,166,196,365,1,1,CRECRE,,,
liejukana,rörhöna,Common Moorhen,Gallinula chloropus,GALCHL,288,1,0,0,2,47,181,196,365,1,1,GALCHL,,,
nokikana,sothöna,Eurasian Coot,Fulica atra,FULATR,291,1,0,0,2,60,151,196,365,1,1,FULATR,x,,
kurki,trana,Common Crane,Grus grus,GRUGRU,294,1,0,0,2,47,151,196,365,1,1,GRUGRU,x,,
avosetti,skärfläcka,Pied Avocet,Recurvirostra avosetta,RECAVO,302,1,0,0,2,47,181,182,365,1,1,RECAVO,,,
meriharakka,strandskata,Eurasian Oystercatcher,Haematopus ostralegus,HAEOST,303,1,0,0,2,47,151,182,365,0,1,HAEOST,x,,
kapustarinta,ljungpipare,European Golden Plover,Pluvialis apricaria,PLUAPR,307,1,0,0,2,47,151,182,365,1,1,PLUAPR,x,,
tundrakurmitsa,kustpipare,Grey Plover,Pluvialis squatarola,PLUSQU,308,1,0,0,2,47,166,182,365,1,1,PLUSQU,x,,
töyhtöhyyppä,tofsvipa,Northern Lapwing,Vanellus vanellus,VANVAN,312,1,0,0,2,47,135,136,365,1,1,VANVAN,x,,
pikkutylli,mindre strandpipare,Little Ringed Plover,Charadrius dubius,CHADUB,313,1,0,0,2,47,151,182,365,1,1,CHADUB,x,,
tylli,större strandpipare,Common Ringed Plover,Charadrius hiaticula,CHAHIA,314,1,0,0,2,47,166,182,365,0,1,CHAHIA,x,,
keräkurmitsa,fjällpipare,Eurasian Dotterel,Charadrius morinellus,CHAMOR,322,1,0,0,2,47,166,182,365,1,1,CHAMOR,,,
pikkukuovi,småspov,Whimbrel,Numenius phaeopus,NUMPHA,326,1,0,0,2,47,166,167,365,1,1,NUMPHA,x,,
kuovi,storspov,Eurasian Curlew,Numenius arquata,NUMARQ,327,1,0,0,2,47,151,152,365,1,1,NUMARQ,x,,
mustapyrstökuiri,rödspov,Black-tailed Godwit,Limosa limosa,LIMLIM,329,1,0,0,2,47,151,182,365,1,1,LIMLIM,,,
punakuiri,myrspov,Bar-tailed Godwit,Limosa lapponica,LIMLAP,331,1,0,0,2,47,166,182,365,0,1,LIMLAP,x,,
karikukko,roskarl,Ruddy Turnstone,Arenaria interpres,AREINT,334,1,0,0,2,47,151,182,365,0,1,AREINT,,,
isosirri,kustsnäppa,Red Knot,Calidris canutus,CALCAN,335,1,0,0,2,47,181,182,365,1,1,CALCAN,x,,
suokukko,brushane,Ruff,Calidris pugnax,CALPUG,336,1,0,0,2,47,151,152,365,1,1,PHIPUG,,,
jänkäsirriäinen,myrsnäppa,Broad-billed Sandpiper,Calidris falcinellus,CALFAL,338,1,0,0,2,47,166,167,365,1,1,LIMFAL,x,,
kuovisirri,spovsnäppa,Curlew Sandpiper,Calidris ferruginea,CALFER,339,1,0,0,2,47,181,182,365,1,1,CALFER,x,,
lapinsirri,mosnäppa,Temminck's Stint,Calidris temminckii,CALTEM,344,1,0,0,2,47,166,182,365,1,1,CALTEM,x,,
pulmussirri,sandlöpare,Sanderling,Calidris alba,CALALB,345,1,0,0,2,47,181,182,365,1,1,CALALB,,,
suosirri,kärrsnäppa,Dunlin,Calidris alpina,CALALP,346,1,0,0,2,47,166,167,365,1,1,CALALP,x,,
