FIN_name,SWE_name,ENG_name,Sci_name,Species_Abb,Species_code,Sp,Add,Night,Trend,SpB,SpE,AuB,AuE,P,M,Species_Abb_old,Expected,,
isokirvinen / mongoliankirvinen / nummikirvinen,större piplärka / mongolpiplärka / fältpiplärka,Richard's / Blyth's / Tawny Pipit,Anthus richardi / Anthus godlewskii / Anthus campestris,ANTRIC/ANTGOD/ANTCAM,571,0,1,0,2,NA,NA,NA,NA,NA,NA,ANTRIC/ANTGOD/ANTCAM,,,
kirvislaji,Anthus (släktet),Unidentified Pipit,Anthus sp,ANTSP,580,0,0,0,2,NA,NA,NA,NA,NA,NA,ANT SP,,,
västäräkkilaji,Motacilla (släktet),Unidentified Wagtail,Motacilla sp,MOTSP,598,0,0,0,2,NA,NA,NA,NA,NA,NA,MOT SP,,,
kivitaskulaji,Oenanthe (släktet),Unidentified Wheatear,Oenanthe sp,OENSP,646,0,0,0,2,NA,NA,NA,NA,NA,NA,OEN SP,,,
rastaslaji (Turdus),Turdus (släktet),Unidentified Thrush,Turdus sp,TURSP,666,0,0,0,2,NA,NA,NA,NA,NA,NA,TUR SP,,,
iso rastas,stor trast,Unidentified Large Thrush,magnus Turdus,ITUR,667,0,0,0,2,NA,NA,NA,NA,NA,NA,I TUR,,,
pieni rastas,liten trast,Unidentified Small Thrush,parvus Turdus,PTUR,668,0,0,0,2,NA,NA,NA,NA,NA,NA,P TUR,,,
viitakerttunen / luhtakerttunen / rytikerttunen,busksångare / kärrsångare / rörsångare,Unidentified Reed Warbler,Acrocephalus dumetorum / Acrocephalus palustris / Acrocephalus scirpaceus,ACRDUM/ACRRIS/ACRSCI,695,0,0,0,2,NA,NA,NA,NA,NA,NA,ACR DRS,,,
kerttuslaji,Acrocephalus (släktet),Unidentified Acrocephalus warbler,Acrocephalus sp,ACRSP,697,0,0,0,2,NA,NA,NA,NA,NA,NA,ACR SP,,,
uunilintulaji,Phylloscopus (släktet),Unidentified Phylloscopus warbler,Phylloscopus sp,PHYSP,735,0,0,0,2,NA,NA,NA,NA,NA,NA,PHY SP,,,
kirjosieppolaji,Ficedula (släktet),Unidentified Flycatcher,Ficedula sp,FICSP,746,0,0,0,2,NA,NA,NA,NA,NA,NA,FIC SP,,,
kuusitiainen x hömötiainen,svartmes x talltita,Willow x Coal Tit,Periparus ater x Poecile montanus,PERATEXPOEMON,756,0,1,0,2,NA,NA,NA,NA,NA,NA,PERATEXPOEMON,,,
hömötiainen X lapintiainen,talltita X lappmes,Willow x Siberian Tit,Poecile montanus X Poecile cinctus,POEMONXPOECIN,761,0,1,0,2,NA,NA,NA,NA,NA,NA,POEMONXPOECIN,,,
tiaislaji,ob. mes / tita,Unidentified Tit species,Cyanistes / Parus / Periparus / Lophophanes / Poecile,CYA/PAR/PER/LOP/POE,763,0,1,0,2,NA,NA,NA,NA,NA,NA,PAR SP,,,
nokivaris,kråka (rasen corone),Carrion Crow,Corvus corone corone,CORONEONE,798,0,1,0,2,NA,NA,NA,NA,NA,NA,CORONEONE,,,
varislaji,Corvus (släktet),Unidentified Crow,Corvus sp,CORSP,801,0,0,0,2,NA,NA,NA,NA,NA,NA,COR SP,,,
korppi / varis / mustavaris,korp / kråka / råka,Unidentified Large Crow,magnus Corvus,ICOR,802,0,0,0,2,NA,NA,NA,NA,NA,NA,I COR,,,
tilhi / kottarainen,sidensvans / stare,Waxwing / Starling,Bombycilla / Sturnus,BOM/STU,806,0,0,0,2,NA,NA,NA,NA,NA,NA,BOM/STU,,,
peippolaji,Fringilla (släktet),Chaffinch / Brambling,Fringilla sp,FRISP,816,0,0,0,2,NA,NA,NA,NA,NA,NA,FRI SP,,,
tiklilaji,Carduelis (släktet),Unidentified Carduelis species,Carduelis sp,CARSP,830,0,0,0,2,NA,NA,NA,NA,NA,NA,CAR SP,,,
pikkukäpylintu / isokäpylintu,mindre korsnäbb / större korsnäbb,Common / Parrot Crossbill,Loxia curvirostra / Loxia pytyopsittacus,LOXCUR/LOXPYT,835,0,0,0,2,NA,NA,NA,NA,NA,NA,LOX C/P,,,
käpylintulaji,Loxia (släktet),Unidentified Crossbill,Loxia sp,LOXSP,836,0,0,0,2,NA,NA,NA,NA,NA,NA,LOX SP,,,
pohjansirkku / pikkusirkku / kultasirkku,videsparv / dvärgsparv / gyllensparv,Rustic / Little / Yellow-breasted Bunting,Emberiza rustica / Emberiza pusilla / Emberiza aureola,EMBRUS/EMBPUS/EMBAUR,862,0,0,0,2,NA,NA,NA,NA,NA,NA,EMB RPA,,,
iso pikkulintu,stor småfågel,Unidentified Large Songbird,IPL (iso pikkulintu),IPL,874,0,0,0,2,NA,NA,NA,NA,NA,NA,IPL,,,
keskikokoinen pikkulintu,medelstor småfågel,Unidentified Middle-sized Songbird,KPL (keskikokoinen pikkulintu),KPL,875,0,0,0,2,NA,NA,NA,NA,NA,NA,KPL,,,
pieni pikkulintu,liten småfågel,Unidentified Small Songbird,PPL (pieni pikkulintu),PPL,876,0,0,0,2,NA,NA,NA,NA,NA,NA,PPL,,,
pikkulintu,ob. småfågel,Unidentified Songbird,PL (pikkulintu),PL,879,0,0,0,2,NA,NA,NA,NA,NA,NA,PL,,,
iso lintu,stor fågel,Large bird,magnus Aves,IL,880,0,0,0,2,NA,NA,NA,NA,NA,NA,IL,,,
