Lajinumero,Lajinimi,Lajilyhenne,Korkea prioriteetti,Kirjoittaja,Aineistoversio,Vuosi,Kuvaaja,Päivämäärä,"Kuvauspaikka (Halias, ellei toisin mainittu)",Viety
123,liro,TRIGLA,,Pekka Topp,1.1.,2019,,,,
124,punajalkaviklo,TRITOT,,,,,,,,
125,jänkäkurppa,LYMMIN,,,,,,,,
126,lehtokurppa,SCORUS,,,,,,,,
127,taivaanvuohi,GALGAL,,,,,,,,
128,heinäkurppa,GALMED,,,,,Petri Koivisto,10.9.2005,,
129,leveäpyrstökihu,STEPOM,,,,,,,,
130,merikihu,STECUS,,,,,,,,
131,tunturikihu,STELON,,,,,,,,
132,isokihu,STESKU,,,,,,,,
133,riskilä,CEPGRY,,,,,,,,
134,ruokki,ALCTOR,,,,,,,,
135,pikkuruokki,ALLALL,,,,,,,,
136,etelänkiisla,URIAAL,,,,,,,,
137,pikkutiira,STEALB,,,,,,,,
138,räyskä,HYDCAS,K,,,,,,,
139,mustatiira,CHLNIG,,,,,,,,
140,riuttatiira,STESAN,,,,,,,,
141,kalatiira,STEHIR,,,,,,,,
142,lapintiira,STEAEA,K,,,,,,,
143,pikkulokki,HYDMIN,,,,,,,,
144,pikkukajava,RISTRI,,,,,,,,
145,naurulokki,LARRID,K,,,,,,,
146,kalalokki,LARCAN,,,,,,,,
147,selkälokki,LARFUS,K,,,,,,,
148,harmaalokki,LARARG,K,,,,,,,
149,aroharmaalokki,LARCAC,,,,,,,,
150,isolokki,LARHYP,,,,,,,,
151,merilokki,LARMAR,K,,,,,,,
152,kesykyyhky,COLLIV,,,,,,,,
153,uuttukyyhky,COLOEN,,,,,,,,
154,sepelkyyhky,COLPAL,K,,,,,,,
155,turkinkyyhky,STRDEC,,,,,,,,
156,turturikyyhky,STRTUR,,,,,,,,
157,harakkakäki,CLAGLA,,,,,,,,
158,käki,CUCCAN,,,,,,,,
159,huuhkaja,BUBBUB,,,,,,,,
160,tunturipöllö,BUBSCA,,,,,,,,
161,hiiripöllö,SURULU,,,,,,,,
162,varpuspöllö,GLAPAS,K,,,,,,,
163,lehtopöllö,STRALU,,,,,,,,
164,viirupöllö,STRURA,,,,,,,,
165,lapinpöllö,STRNEB,,,,,,,,
166,sarvipöllö,ASIOTU,K,,,,,,,
167,suopöllö,ASIFLA,,,,,,,,
168,helmipöllö,AEGFUN,K,,,,,,,
169,kehrääjä,CAPEUR,,,,,,,,
170,tervapääsky,APUAPU,,,,,,,,
171,vaaleakiitäjä,APUPAL,,,,,,,,
172,kuningaskalastaja,ALCATT,,,,,,,,
173,mehiläissyöjä,MERAPI,,,,,,,,
174,harjalintu,UPUEPO,,,,,,,,
175,käenpiika,JYNTOR,,,,,,,,
176,harmaapäätikka,PICCAN,,,,,,,,
177,palokärki,DRYMAR,,,,,,,,
178,käpytikka,DENMAJ,,,,,,,,
179,valkoselkätikka,DENLEU,,,,,,,,
180,pikkutikka,DENMIN,,,,,,,,
181,pohjantikka,PICTRI,,,,,,,,
182,lyhytvarvaskiuru,CALBRA,,,,,,,,
183,kangaskiuru,LULARB,,,,,,,,
184,kiuru,ALAARV,,,,,,,,
185,tunturikiuru,EREALP,,,,,,,,
186,törmäpääsky,RIPRIP,,,,,,,,
187,haarapääsky,HIRRUS,K,,,,,,,
188,räystäspääsky,DELURB,K,,,,,,,
189,ruostepääsky,CECDAU,,,,,,,,
190,isokirvinen,ANTRIC,,,,,,,,
191,nummikirvinen,ANTCAM,,,,,,,,
192,taigakirvinen,ANTHOD,,,,,,,,
193,metsäkirvinen,ANTTRI,K,,,,,,,
194,niittykirvinen,ANTPRA,K,,,,,,,
195,lapinkirvinen,ANTCER,,,,,,,,
196,luotokirvinen,ANTPET,K,,,,,,,
197,keltavästäräkki,MOTFLA,K,,,,,,,
198,sitruunavästäräkki,MOTCIT,,,,,,,,
199,virtavästäräkki,MOTCIN,K,,,,,,,
200,västäräkki,MOTALB,K,,,,,,,
201,tilhi,BOMGAR,K,,,,,,,
202,koskikara,CINCIN,,,,,,,,
203,peukaloinen,TROTRO,,,,,,,,
204,rautiainen,PRUMOD,,,,,,,,
205,taigarautiainen,PRUMON,,,,,,,,
206,mustakurkkurautiainen,PRUATR,,,,,,,,
207,punarinta,ERIRUB,,,,,,,,
208,satakieli,LUSLUS,,,,,,,,
209,etelänsatakieli,LUSMEG,,,,,,,,
210,sinirinta,LUSSVE,,,,,,,,
211,sinipyrstö,TARCYA,,,,,,,,
212,mustaleppälintu,PHOOCH,,,,,,,,
213,leppälintu,PHOPHO,K,,,,,,,
214,pensastasku,SAXTRA,,,,,,,,
215,sepeltasku,SAXMAU,,,,,,,,
216,mustapäätasku,SAXOLA,,,,,,,,
217,kivitasku,OENOEN,K,,,,,,,
218,nunnatasku,OENPLE,,,,,,,,
219,sepelrastas,TURTOR,,,,,,,,
220,mustarastas,TURMER,K,,,,,,,
221,ruostesiipirastas,TUREUN,,,,,,,,
222,mustakaularastas,TURATR,,,,,,,,
223,räkättirastas,TURPIL,K,,,,,,,
224,laulurastas,TURPHI,,,,,,,,
225,punakylkirastas,TURILI,K,,,,,,,
226,kulorastas,TURVIS,,,,,,,,
227,pensassirkkalintu,LOCNAE,,,,,,,,
228,viitasirkkalintu,LOCFLU,,,,,,,,
229,pikkukultarinta,IDUCAL,,,,,,,,
230,kultarinta,HIPICT,K,,,,,,,
231,ruokokerttunen,ACRSCH,,,,,,,,
232,kenttäkerttunen,ACRAGR,,Roni Väisänen,,,Roni Väisänen,,,
233,viitakerttunen,ACRDUM,,,,,,,,
234,luhtakerttunen,ACRRIS,,,,,,,,
235,rytikerttunen,ACRSCI,,,,,,,,
236,rastaskerttunen,ACRARU,,,,,,,,
237,rusorintakerttu,SYLCAN,,,,,,,,
238,kääpiökerttu,SYLNAN,,,,,,,,
239,kirjokerttu,SYLNIS,,,,,,,,
240,hernekerttu,SYLCUR,,,,,,,,
241,pensaskerttu,SYLCOM,,,,,,,,
242,lehtokerttu,SYLBOR,,,,,,,,
243,mustapääkerttu,SYLATR,,,,,,,,
244,idänuunilintu,PHYDES,,,,,,,,
245,lapinuunilintu,PHYBOR,,,,,,,,
246,hippiäisuunilintu,PHYPRO,,,,,,,,
247,taigauunilintu,PHYINO,,,,,,,,
248,kashmirinuunilintu,PHYHUM,,,,,,,,
249,siperianuunilintu,PHYSCH,,,,,,,,
250,ruskouunilintu,PHYFUS,,,,,,,,
251,vuoriuunilintu,PHYBON,,,,,,,,
252,sirittäjä,PHYSIB,K,,,,,,,
253,tiltaltti,PHYCOL,,,,,,,,
254,pajulintu,PHYLUS,,,,,,,,
255,hippiäinen,REGREG,,,,,,,,
256,tulipäähippiäinen,REGIGN,,,,,,,,
257,harmaasieppo,MUSSTR,,,,,,,,
258,pikkusieppo,FICPAR,,,,,,,,
259,sepelsieppo,FICALB,,,,,,,,
260,kirjosieppo,FICHYP,K,,,,,,,
261,viiksitimali,PANBIA,,,,,,,,
262,pyrstötiainen,AEGCAU,K,,,,,,,
263,sinitiainen,CYACAE,,,,,,,,
264,talitiainen,PARMAJ,,,,,,,,
265,kuusitiainen,PERATE,,,,,,,,
266,töyhtötiainen,LOPCRI,,,,,,,,
267,viitatiainen,POEPAL,,,,,,,,
268,hömötiainen,POEMON,,,,,,,,
269,lapintiainen,POECIN,,,,,,,,
270,pähkinänakkeli,SITEUR,,,,,,,,
271,puukiipijä,CERFAM,,,,,,,,
272,pussitiainen,REMPEN,,,,,,,,
273,kuhankeittäjä,ORIORI,,,,,,,,
274,pikkulepinkäinen,LANCOL,,,,,,,,
275,mustaotsalepinkäinen,LANMIN,,,,,,,,
276,isolepinkäinen,LANEXC,,,,,,,,
277,punapäälepinkäinen,LANSEN,,,,,,,,
278,närhi,GARGLA,,,,,,,,
279,harakka,PICPIC,,,,,,,,
280,pähkinähakki,NUCCAR,,,,,,,,
281,naakka,CORMON,,,,,,,,
282,mustavaris,CORFRU,,,,,,,,
283,varis,CORNIX,,,,,,,,
284,korppi,CORRAX,,,,,,,,
285,kottarainen,STUVUL,,,,,,,,
286,punakottarainen,PASROS,,,,,,,,
287,varpunen,PASDOM,,,,,,,,
288,pikkuvarpunen,PASMON,,,,,,,,
289,peippo,FRICOE,,,,,,,,
290,järripeippo,FRIMON,K,,,,,,,
291,keltahemppo,SERSER,,,,,,,,
292,viherpeippo,CARCHL,,,,,,,,
293,tikli,CARCAR,,,,,,,,
294,vihervarpunen,CARSPI,K,,,,,,,
295,hemppo,CARCAN,,,,,,,,
296,vuorihemppo,CARRIS,,,,,,,,
297,urpiainen,CARMEA,,,,,,,,
298,tundraurpiainen,CARHOR,,,,,,,,
299,kirjosiipikäpylintu,LOXLEU,,,,,,,,
300,pikkukäpylintu,LOXCUR,,,,,,,,
301,isokäpylintu,LOXPYT,,,,,,,,
302,punavarpunen,CARERY,,,,,,,,
303,taviokuurna,PINENU,,,,,,,,
304,punatulkku,PYRPYR,K,,,,,,,
305,nokkavarpunen,COCCOC,,,,,,,,
306,lapinsirkku,CALLAP,,,,,,,,
307,pulmunen,PLENIV,,,,,,,,
308,keltasirkku,EMBCIT,,,,,,,,
309,peltosirkku,EMBHOR,,,,,,,,
310,pohjansirkku,EMBRUS,,,,,,,,
311,pikkusirkku,EMBPUS,,,,,,,,
312,kultasirkku,EMBAUR,,,,,,,,
313,pajusirkku,EMBSCH,,,,,,,,
314,harmaasirkku,EMBCAL,,,,,,,,
315,kultatöyhtösirkku,EMBELE,,,,,,,,
